t(s)	deltaD	t rescaled
10.68666667	-123.3777778	0.233666667
10.70333333	-126	0.250333333
10.72	-133.3466667	0.267
10.73666667	-139.4355556	0.283666667
10.75333333	-140.1288889	0.300333333
10.77	-140.8933333	0.317
10.78666667	-141.5244444	0.333666667
10.80333333	-142.1733333	0.350333333
10.82	-142.7511111	0.367
10.83666667	-143.3466667	0.383666667
10.85333333	-143.8355556	0.400333333
10.87	-144.3244444	0.417
10.88666667	-144.8577778	0.433666667
10.90333333	-145.4266667	0.450333333
10.92	-145.9333333	0.467
10.93666667	-146.4755556	0.483666667
10.95333333	-147.0622222	0.500333333
10.97	-147.6488889	0.517
10.98666667	-148.2088889	0.533666667
11.00333333	-148.7688889	0.550333333
11.02	-149.2844444	0.567
11.03666667	-149.8266667	0.583666667
11.05333333	-150.4133333	0.600333333
11.07	-151.0444444	0.617
11.08666667	-151.6666667	0.633666667
11.10333333	-152.3422222	0.650333333
11.12	-152.9733333	0.667
11.13666667	-153.5866667	0.683666667
11.15333333	-154.1733333	0.700333333
11.17	-154.7244444	0.717
11.18666667	-155.2933333	0.733666667
11.20333333	-155.8977778	0.750333333
11.22	-156.4222222	0.767
11.23666667	-156.9822222	0.783666667
11.25333333	-157.5422222	0.800333333
11.27	-158.1022222	0.817
11.28666667	-158.6266667	0.833666667
11.30333333	-159.5533333	0.850333333
11.32	-160.7777778	0.867
11.33666667	-161.1611111	0.883666667
11.35333333	-161.6066667	0.900333333
11.37	-162.0977778	0.917
11.38666667	-162.5577778	0.933666667
11.40333333	-162.96	0.950333333
11.42	-163.3544444	0.967
11.43666667	-163.7544444	0.983666667
11.45333333	-164.1244444	1.000333333
11.47	-164.4755556	1.017
11.48666667	-164.8211111	1.033666667
11.50333333	-165.1677778	1.050333333
11.52	-165.5533333	1.067
11.53666667	-165.9155556	1.083666667
11.55333333	-166.2577778	1.100333333
11.57	-166.6211111	1.117
11.58666667	-166.9988889	1.133666667
11.60333333	-167.3911111	1.150333333
11.62	-167.7633333	1.167
11.63666667	-167.4366667	1.183666667
11.65333333	-166.3433333	1.200333333
11.67	-166.6011111	1.217
11.68666667	-166.8411111	1.233666667
11.70333333	-167.1033333	1.250333333
11.72	-167.3344444	1.267
11.73666667	-167.5966667	1.283666667
11.75333333	-167.8633333	1.300333333
11.77	-168.1166667	1.317
11.78666667	-168.3866667	1.333666667
11.80333333	-168.6622222	1.350333333
11.82	-168.9111111	1.367
11.83666667	-169.1955556	1.383666667
11.85333333	-169.48	1.400333333
11.87	-169.7555556	1.417
11.88666667	-170.0755556	1.433666667
11.90333333	-170.3511111	1.450333333
11.92	-170.6711111	1.467
11.93666667	-170.9822222	1.483666667
11.95333333	-171.2755556	1.500333333
11.97	-171.5777778	1.517
11.98666667	-171.8711111	1.533666667
12.00333333	-172.1555556	1.550333333
12.02	-172.4222222	1.567
12.03666667	-172.7333333	1.583666667
12.05333333	-173.0533333	1.600333333
12.07	-173.3644444	1.617
12.08666667	-173.6311111	1.633666667
12.10333333	-173.9244444	1.650333333
12.12	-174.2088889	1.667
12.13666667	-174.4933333	1.683666667
12.15333333	-174.7866667	1.700333333
12.17	-175.0711111	1.717
12.18666667	-175.3911111	1.733666667
12.20333333	-175.6933333	1.750333333
12.22	-175.9333333	1.767
12.23666667	-176.2266667	1.783666667
12.25333333	-176.5288889	1.800333333
12.27	-176.7955556	1.817
12.28666667	-177.0711111	1.833666667
12.30333333	-177.3555556	1.850333333
12.32	-177.6577778	1.867
12.33666667	-177.9688889	1.883666667
12.35333333	-178.2444444	1.900333333
12.37	-178.5466667	1.917
12.38666667	-178.84	1.933666667
12.40333333	-179.1511111	1.950333333
12.42	-179.4355556	1.967
12.43666667	-179.72	1.983666667
12.45333333	-179.9955556	2.000333333
12.47	-180.2888889	2.017
12.48666667	-180.5733333	2.033666667
12.50333333	-180.8488889	2.050333333
12.52	-181.1333333	2.067
12.53666667	-181.4088889	2.083666667
12.55333333	-181.6577778	2.100333333
12.57	-181.9155556	2.117
12.58666667	-182.0933333	2.133666667
12.60333333	-182.36	2.150333333
12.62	-182.5022222	2.167
12.63666667	-182.68	2.183666667
12.65333333	-182.8666667	2.200333333
12.67	-183.08	2.217
12.68666667	-183.2755556	2.233666667
12.70333333	-183.4888889	2.250333333
12.72	-183.8177778	2.267
